Seed	Demuxer	BarcodeSet	Correct	Incorrect	Unassigned
3544	ar	10-9bp-se	999898	0	102
3176	ar	10-9bp-se	999874	0	126
3562	ar	10-9bp-se	999877	0	123
2841	ar	10-9bp-se	999877	0	123
7460	ar	10-9bp-se	999866	0	134
1285	ar	10-9bp-se	999888	0	112
7051	ar	10-9bp-se	999874	0	126
7837	ar	10-9bp-se	999875	0	125
6731	ar	10-9bp-se	999893	0	107
9671	ar	10-9bp-se	999890	0	110
3544	ar	20-9bp-se	999896	0	104
3176	ar	20-9bp-se	999877	0	123
3562	ar	20-9bp-se	999888	0	112
2841	ar	20-9bp-se	999878	0	122
7460	ar	20-9bp-se	999873	0	127
1285	ar	20-9bp-se	999890	0	110
7051	ar	20-9bp-se	999875	0	125
7837	ar	20-9bp-se	999901	0	99
6731	ar	20-9bp-se	999893	0	107
9671	ar	20-9bp-se	999893	0	107
3544	ar	50-9bp-se	999883	0	117
3176	ar	50-9bp-se	999878	0	122
3562	ar	50-9bp-se	999898	0	102
2841	ar	50-9bp-se	999876	0	124
7460	ar	50-9bp-se	999878	0	122
1285	ar	50-9bp-se	999884	0	116
7051	ar	50-9bp-se	999886	0	114
7837	ar	50-9bp-se	999900	0	100
6731	ar	50-9bp-se	999881	0	119
9671	ar	50-9bp-se	999896	0	104
3544	ar	100-8bp-se	999889	0	111
3176	ar	100-8bp-se	999871	0	129
3562	ar	100-8bp-se	999898	0	102
2841	ar	100-8bp-se	999888	0	112
7460	ar	100-8bp-se	999872	0	128
1285	ar	100-8bp-se	999894	0	106
7051	ar	100-8bp-se	999871	0	129
7837	ar	100-8bp-se	999900	0	100
6731	ar	100-8bp-se	999879	0	121
9671	ar	100-8bp-se	999891	0	109
3544	ar	200-9bp-se	999897	0	103
3176	ar	200-9bp-se	999879	0	121
3562	ar	200-9bp-se	999903	0	97
2841	ar	200-9bp-se	999897	0	103
7460	ar	200-9bp-se	999874	0	126
1285	ar	200-9bp-se	999894	0	106
7051	ar	200-9bp-se	999884	0	116
7837	ar	200-9bp-se	999888	0	112
6731	ar	200-9bp-se	999890	0	110
9671	ar	200-9bp-se	999887	0	113
3544	ar	400-9bp-se	999881	0	119
3176	ar	400-9bp-se	999883	0	117
3562	ar	400-9bp-se	999892	0	108
2841	ar	400-9bp-se	999879	0	121
7460	ar	400-9bp-se	999870	0	130
1285	ar	400-9bp-se	999900	0	100
7051	ar	400-9bp-se	999887	0	113
7837	ar	400-9bp-se	999896	0	104
6731	ar	400-9bp-se	999875	0	125
9671	ar	400-9bp-se	999891	0	109
3544	ar	800-9bp-se	999886	0	114
3176	ar	800-9bp-se	999885	0	115
3562	ar	800-9bp-se	999881	0	119
2841	ar	800-9bp-se	999885	0	115
7460	ar	800-9bp-se	999883	0	117
1285	ar	800-9bp-se	999891	0	109
7051	ar	800-9bp-se	999858	0	142
7837	ar	800-9bp-se	999886	0	114
6731	ar	800-9bp-se	999877	0	123
9671	ar	800-9bp-se	999877	0	123
3544	ar	10-8bp-pe	999781	0	219
3176	ar	10-8bp-pe	999758	0	242
3562	ar	10-8bp-pe	999782	0	218
2841	ar	10-8bp-pe	999765	0	235
7460	ar	10-8bp-pe	999768	0	232
1285	ar	10-8bp-pe	999768	0	232
7051	ar	10-8bp-pe	999760	0	240
7837	ar	10-8bp-pe	999765	0	235
6731	ar	10-8bp-pe	999774	0	226
9671	ar	10-8bp-pe	999809	0	191
3544	ar	100-8bp-pe	999788	0	212
3176	ar	100-8bp-pe	999763	0	237
3562	ar	100-8bp-pe	999792	0	208
2841	ar	100-8bp-pe	999754	0	246
7460	ar	100-8bp-pe	999741	0	259
1285	ar	100-8bp-pe	999762	0	238
7051	ar	100-8bp-pe	999790	0	210
7837	ar	100-8bp-pe	999770	0	230
6731	ar	100-8bp-pe	999777	0	223
9671	ar	100-8bp-pe	999786	0	214
3544	ar	1024-8bp-pe	999799	0	201
3176	ar	1024-8bp-pe	999756	0	244
3562	ar	1024-8bp-pe	999792	0	208
2841	ar	1024-8bp-pe	999782	0	218
7460	ar	1024-8bp-pe	999740	0	260
1285	ar	1024-8bp-pe	999790	0	210
7051	ar	1024-8bp-pe	999788	0	212
7837	ar	1024-8bp-pe	999770	0	230
6731	ar	1024-8bp-pe	999754	0	246
9671	ar	1024-8bp-pe	999793	0	207
3544	ar	10000-8bp-pe	999797	0	203
3176	ar	10000-8bp-pe	999759	0	241
3562	ar	10000-8bp-pe	999792	0	208
2841	ar	10000-8bp-pe	999774	0	226
7460	ar	10000-8bp-pe	999733	0	267
1285	ar	10000-8bp-pe	999782	0	218
7051	ar	10000-8bp-pe	999764	0	236
7837	ar	10000-8bp-pe	999763	0	237
6731	ar	10000-8bp-pe	999774	0	226
9671	ar	10000-8bp-pe	999801	0	199
3544	axe	100-variable-se	1000000	0	0
3176	axe	100-variable-se	1000000	0	0
3562	axe	100-variable-se	1000000	0	0
2841	axe	100-variable-se	1000000	0	0
7460	axe	100-variable-se	1000000	0	0
1285	axe	100-variable-se	1000000	0	0
7051	axe	100-variable-se	1000000	0	0
7837	axe	100-variable-se	1000000	0	0
6731	axe	100-variable-se	1000000	0	0
9671	axe	100-variable-se	1000000	0	0
3544	axe	100-variable-pe	1000000	0	0
3176	axe	100-variable-pe	1000000	0	0
3562	axe	100-variable-pe	1000000	0	0
